10;-361;-439;263;-453;277;171;-347;185
11;-324;-401;245;-418;261;152;-308;168
12;-298;-373;227;-387;241;139;-284;154
13;-268;-340;213;-354;227;124;-254;139
14;-248;-319;202;-333;216;115;-234;129
15;-229;-293;184;-310;201;105;-212;122
16;-211;-276;177;-291;193;97;-195;113
17;-194;-261;170;-276;184;90;-179;104
18;-179;-248;165;-261;178;83;-166;96
19;-163;-238;160;-248;170;77;-153;87
20;-151;-226;156;-235;166;72;-141;81
