0;10;0;-47;315;49;313;51;396;-45;398
0;20;0;-43;177;39;175;41;238;-41;240
0;30;0;-37;75;32;74;32;121;-36;121
0;40;0;-30;3;27;3;27;38;-30;38
0;50;0;-27;-46;23;-46;23;-20;-27;-19
0;60;0;-27;-81;19;-81;19;-62;-27;-62
0;70;0;-24;-113;16;-113;16;-96;-24;-96
10;10;0;132;306;217;295;228;375;142;386
10;20;0;111;174;193;169;197;230;115;236
10;30;0;92;77;165;76;166;122;93;122
10;40;0;78;12;140;10;142;46;80;49
10;50;0;66;-44;118;-46;119;-22;67;-20
10;60;0;58;-80;104;-81;105;-61;58;-60
10;70;0;44;-93;45;-110;91;-109;91;-92
20;0;0;308;434;378;417;398;501;328;518
20;10;0;283;298;347;282;366;356;302;373
20;20;0;241;169;315;162;321;219;246;227
20;30;0;206;80;277;77;279;121;208;123
20;40;0;178;14;240;13;241;45;179;47
20;50;0;154;-15;155;-39;210;-37;209;-13
20;60;0;134;-58;136;-77;186;-72;184;-54
20;70;0;114;-93;116;-109;167;-103;165;-88
30;0;0;430;389;479;376;500;449;451;463
30;10;0;393;276;437;258;462;320;417;338
30;20;0;345;166;384;146;418;208;379;229
30;30;0;298;85;367;82;369;122;301;126
30;40;0;265;48;267;17;327;22;325;52
30;50;0;234;-11;236;-34;291;-29;289;-6
30;60;0;207;-56;209;-72;258;-64;256;-48
30;70;0;177;-88;180;-103;231;-95;229;-79
30;80;0;164;-116;165;-127;207;-123;206;-112
40;0;0;517;357;552;345;574;410;538;421
40;10;0;477;256;510;241;533;294;500;308
40;20;0;428;158;457;141;489;195;459;212
40;30;0;379;82;404;64;442;118;417;135
40;40;0;340;23;362;7;398;55;377;71
40;50;0;305;-1;308;-23;360;-18;358;4
40;60;0;273;-50;275;-64;322;-58;320;-44
40;70;0;245;-84;247;-95;294;-87;292;-76
40;80;0;225;-109;227;-119;265;-115;264;-105
50;0;0;570;324;597;314;619;372;592;382
50;10;0;537;247;563;234;585;279;559;292
50;20;0;489;153;512;140;538;186;515;199
50;30;0;442;84;462;71;494;119;474;132
50;40;0;400;28;416;15;455;61;439;74
50;50;0;361;-21;376;-34;409;5;395;17
50;60;0;328;-45;331;-58;376;-47;373;-34
60;-10;0;640;379;660;373;675;427;655;433
60;0;0;612;299;632;290;653;335;633;344
60;10;0;581;232;601;222;621;261;601;271
60;20;0;539;152;559;142;579;182;559;192
60;30;0;496;95;511;84;539;122;525;133
60;40;0;455;37;469;26;498;66;485;76
60;50;0;411;-9;422;-21;455;12;443;24
60;60;0;373;-31;378;-48;420;-38;415;-20
60;70;0;349;-68;352;-78;388;-70;386;-59
70;0;0;643;277;658;271;676;316;661;322
70;10;0;615;219;629;211;648;244;633;252
70;20;0;574;148;586;140;610;175;599;183
70;30;0;541;95;551;88;575;119;565;127
70;40;0;502;42;510;35;536;67;527;74
70;50;0;455;0;469;-12;495;17;482;29
70;60;0;424;-39;431;-47;459;-22;452;-14
70;70;0;395;-69;401;-76;427;-53;421;-46
80;0;0;666;261;678;255;695;293;683;298
80;10;0;639;211;652;204;670;236;657;243
80;20;0;601;148;613;139;638;173;626;182
80;30;0;573;97;580;92;603;122;596;127
80;40;0;538;48;556;42;567;72;548;79
80;50;0;499;5;505;0;530;27;524;32
90;20;0;625;140;633;135;654;165;646;170
90;30;0;593;96;600;89;629;120;621;127
10;10;0;0;0;0;0;0;0;0;0
10;20;0;382;-343;385;-404;416;-403;414;-342
